,S,v,t,a,d,p,e,E,Sum
S,0.0,0.5477031802120141,0.26501766784452296,0.0,0.0,0.0,0.1872791519434629,0.0,1.0
v,0.0,0.0,0.4777777777777778,0.0,0.0,0.0,0.027777777777777776,0.49444444444444446,1.0
t,0.0,0.12359550561797752,0.0,0.0,0.0,0.0,0.3595505617977528,0.5168539325842697,1.0
a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,0.0,0.022388059701492536,0.12686567164179105,0.0,0.0,0.0,0.08955223880597014,0.7611940298507462,1.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
