,S,v,t,a,d,p,e,E,Sum
S,0.0,0.31693989071038253,0.6830601092896175,0.0,0.0,0.0,0.0,0.0,1.0
v,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.7307692307692307,0.038461538461538464,0.9999999999999999
t,0.0,0.3087248322147651,0.0,0.0,0.2214765100671141,0.0,0.40939597315436244,0.06040268456375839,1.0
a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,0.0,0.0,0.0,0.0,0.0,0.0,0.12738853503184713,0.8726114649681529,1.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
