,S,v,t,a,d,p,e,E,Sum
S,0.0,0.5404040404040404,0.15151515151515152,0.0,0.025252525252525252,0.030303030303030304,0.25252525252525254,0.0,1.0
v,0.0,0.07042253521126761,0.014084507042253521,0.0,0.056338028169014086,0.035211267605633804,0.19718309859154928,0.6267605633802817,1.0
t,0.0,0.08571428571428572,0.18571428571428572,0.0,0.04285714285714286,0.014285714285714285,0.2571428571428571,0.4142857142857143,1.0
a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d,0.0,0.22857142857142856,0.32857142857142857,0.0,0.0,0.0,0.04285714285714286,0.4,1.0
p,0.0,0.047619047619047616,0.047619047619047616,0.0,0.23809523809523808,0.3333333333333333,0.047619047619047616,0.2857142857142857,0.9999999999999999
e,0.0,0.013157894736842105,0.006578947368421052,0.0,0.3223684210526316,0.013157894736842105,0.34210526315789475,0.3026315789473684,1.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
