,S,v,t,a,d,p,e,E,Sum
S,0.0,0.4374193548387097,0.3987096774193548,0.003870967741935484,0.007741935483870968,0.00903225806451613,0.1432258064516129,0.0,1.0
v,0.0,0.02207505518763797,0.304635761589404,0.0,0.019867549668874173,0.011037527593818985,0.24061810154525387,0.40176600441501104,1.0
t,0.0,0.16205533596837945,0.025691699604743084,0.0,0.2648221343873518,0.005928853754940711,0.2826086956521739,0.25889328063241107,1.0
a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
d,0.0,0.07766990291262135,0.11650485436893204,0.0,0.0,0.0,0.014563106796116505,0.7912621359223301,1.0
p,0.0,0.041666666666666664,0.041666666666666664,0.0,0.3333333333333333,0.2916666666666667,0.041666666666666664,0.25,0.9999999999999999
e,0.0,0.010395010395010396,0.037422037422037424,0.0,0.10187110187110188,0.004158004158004158,0.23700623700623702,0.6091476091476091,1.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
