provider_name,course_name,course_structure,unit_count,chapter_count,interaction_count,interaction_duration,unit_duration,i_blocks,i_block_sizes,i_block_count,max_i_block_size,avg_i_block_size,std_i_block_size,distances_between_i_blocks,max_i_block_distance,avg_i_block_distance,std_i_block_distance,has_i,gaps_between_i_units,max_sections_without_i,avg_sections_without_i,std_sections_without_i,i_blocks_per_section,max_i_blocks_per_section,avg_i_blocks_per_section,std_i_blocks_per_section,interaction_density,avg_i_per_unit,avg_time_between_i_blocks,avg_time_between_i_block_corrected
FutureLearn,Fut-EC,vti|ti|ti|vti|ti|vti|ti|vti|vti|ti|iiii|vti|vti|ti|vti|ti|ti|ti|ti|ti|ti|ti|ti|vti|ti|vti,26,2,29,8700.0,17118.0,"[(2, 2), (4, 4), (6, 6), (9, 9), (11, 11), (14, 14), (16, 16), (19, 19), (22, 22), (24, 24), (25, 28), (31, 31), (34, 34), (36, 36), (39, 39), (41, 41), (43, 43), (45, 45), (47, 47), (49, 49), (51, 51), (53, 53), (55, 55), (58, 58), (60, 60), (63, 63)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",26,4,1.1153846153846154,0.576923076923077,"[2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 0, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]",2,1.3461538461538463,0.5506854255106289,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1.0,0.0,0.5082369435681738,1.1153846153846154,5.612,5.3961538461538465
FutureLearn,Fut-ENT,vti|tii|ti|ti|ti|tvti|iiii|ati|ti|ti|ti|ti|tvti|tii|ti|ti|tvti|ti|iiii|ti|ti|ti|vti|ti|t|itvti|ti|ti|ti|ti|ti|ti|ti|ti|ti|ati|tvti|tvi|ti|iiii|ati|ti|iiii|ti|vti|ti|vti|ti|tvti|ti|ti|ti|ti|ti|vti|vti|iiiii|ti|ti|ti|ti|tvti|iiiiiiii|vti|ti|ti|ti|ti|ti|vti|ii|ti|vti|ti|ti|ti|ti|ti|ti|ti|ti|ti|ti|iiiii|ti,85,4,115,33960.0,47865.0,"[(2, 2), (4, 5), (7, 7), (9, 9), (11, 11), (15, 15), (16, 19), (22, 22), (24, 24), (26, 26), (28, 28), (30, 30), (34, 34), (36, 37), (39, 39), (41, 41), (45, 45), (47, 47), (48, 51), (53, 53), (55, 55), (57, 57), (60, 60), (62, 62), (64, 64), (68, 68), (70, 70), (72, 72), (74, 74), (76, 76), (78, 78), (80, 80), (82, 82), (84, 84), (86, 86), (89, 89), (93, 93), (96, 96), (98, 98), (99, 102), (105, 105), (107, 107), (108, 111), (113, 113), (116, 116), (118, 118), (121, 121), (123, 123), (127, 127), (129, 129), (131, 131), (133, 133), (135, 135), (137, 137), (140, 140), (143, 143), (144, 148), (150, 150), (152, 152), (154, 154), (156, 156), (160, 160), (161, 168), (171, 171), (173, 173), (175, 175), (177, 177), (179, 179), (181, 181), (184, 184), (185, 186), (188, 188), (191, 191), (193, 193), (195, 195), (197, 197), (199, 199), (201, 201), (203, 203), (205, 205), (207, 207), (209, 209), (211, 211), (212, 216), (218, 218)]","[1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1]",85,8,1.3529411764705883,1.1345471483521123,"[2, 1, 1, 1, 1, 3, 0, 2, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 0, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 0, 2, 1, 0, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 2, 0, 1, 1, 1, 1, 3, 0, 2, 1, 1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",3,1.223529411764706,0.7256067738874953,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0.011904761904761904,0.10845754260886069,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2,1.0,0.1533929977694741,0.7094954559699154,1.3529411764705883,2.7589285714285716,2.7589285714285716
IDF,IDF-HCI,t|vtvti|tvtvtvi|tvtvtvi|tvii|ti|t|tv|tvti|tvi|tvi|tvti|tvti|tvti|tvti|ti|tvti|ti|tvti|tvti|ti|tvi|tvi|tvti|tvti|tvti|tvi|tvii|ti|t|tvi|tvti|tvti|tvti|tvtvti|tvi|tvtv|tvi|tvi|tvti|tvi|ti|ti|t,44,3,59,22200.0,44798.0,"[(5, 5), (12, 12), (19, 19), (22, 23), (25, 25), (32, 32), (35, 35), (38, 38), (42, 42), (46, 46), (50, 50), (54, 54), (56, 56), (60, 60), (62, 62), (66, 66), (70, 70), (72, 72), (75, 75), (78, 78), (82, 82), (86, 86), (90, 90), (93, 93), (96, 97), (99, 99), (103, 103), (107, 107), (111, 111), (115, 115), (121, 121), (124, 124), (131, 131), (134, 134), (138, 138), (141, 141), (143, 143), (145, 145)]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",38,2,1.0526315789473684,0.22329687826943606,"[5, 6, 6, 2, 1, 6, 2, 2, 3, 3, 3, 3, 1, 3, 1, 3, 3, 1, 2, 2, 3, 3, 3, 2, 2, 1, 3, 3, 3, 3, 5, 2, 6, 2, 3, 2, 1, 1]",6,2.789473684210526,1.4538134017824351,"[False, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, True, False]","[1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2,0.13157894736842105,0.40853091305947425,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]",1,0.8636363636363636,0.3431742925123068,0.4955578374034555,1.3409090909090908,10.17927927927928,9.91140350877193
IDF,IDF-IDU,vi|vi|vi|vi|v|ti|vii|vi|vi|vi|vi|ti|vi|vi|vi|vi|ti|vi|vii|vi|vi|ti|vi|vi|vi|vii|vi|ti|vi|vii|vi|vi|ti|vi|vii|vi|vi|vi|ti|vi|vi|vi|vi|vi|ti|vi|vi|vi|vi|vii|vi|ti|vi|vii|vi|vi|vi|ti|vii|vi|vi|vi|v|ti|vi|vi|vi|viii|ti,69,12,81,42300.0,111037.0,"[(1, 1), (3, 3), (5, 5), (7, 7), (10, 10), (12, 13), (15, 15), (17, 17), (19, 19), (21, 21), (23, 23), (25, 25), (27, 27), (29, 29), (31, 31), (33, 33), (35, 35), (37, 38), (40, 40), (42, 42), (44, 44), (46, 46), (48, 48), (50, 50), (52, 53), (55, 55), (57, 57), (59, 59), (61, 62), (64, 64), (66, 66), (68, 68), (70, 70), (72, 73), (75, 75), (77, 77), (79, 79), (81, 81), (83, 83), (85, 85), (87, 87), (89, 89), (91, 91), (93, 93), (95, 95), (97, 97), (99, 99), (101, 101), (103, 104), (106, 106), (108, 108), (110, 110), (112, 113), (115, 115), (117, 117), (119, 119), (121, 121), (123, 124), (126, 126), (128, 128), (130, 130), (133, 133), (135, 135), (137, 137), (139, 139), (141, 143), (145, 145)]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1]",67,3,1.1492537313432836,0.3960149003409433,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",2,1.0298507462686568,0.17017543658196088,"[True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.029850746268656716,0.1701754365819609,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",1,0.9710144927536232,0.1677657522143511,0.380954096382287,1.173913043478261,17.35782828282828,17.09875621890547
IDF,IDF-UI,ti|tvii|ti|ti|ti|ti|ti|ti|tii|ti|tvi|ti|ti|ti|ti|tii|ti|ti|ti|ti|ti|ti|ti|tvi|ti|ti|tii|ti|t|ti|ti|tvi|tii|ti|ti|ti|ti|ti|t|ti|ti|ti|tvii|ti|ti|ti|ti|ti|ti|t|ti|tvi|ti|ti|tii|ti|ti|ti|ti|ti|ti|t|ti|tvi|tii|ti|ti|ti|ti|t,70,7,125,49500.0,81426.0,"[(1, 1), (4, 5), (7, 7), (9, 9), (11, 11), (13, 13), (15, 15), (17, 17), (19, 20), (22, 22), (25, 25), (27, 27), (29, 29), (31, 31), (33, 33), (35, 36), (38, 38), (40, 40), (42, 42), (44, 44), (46, 46), (48, 48), (50, 50), (53, 53), (55, 55), (57, 57), (59, 60), (62, 62), (65, 65), (67, 67), (70, 70), (72, 73), (75, 75), (77, 77), (79, 79), (81, 81), (83, 83), (86, 86), (88, 88), (90, 90), (93, 94), (96, 96), (98, 98), (100, 100), (102, 102), (104, 104), (106, 106), (109, 109), (112, 112), (114, 114), (116, 116), (118, 119), (121, 121), (123, 123), (125, 125), (127, 127), (129, 129), (131, 131), (134, 134), (137, 137), (139, 140), (142, 142), (144, 144), (146, 146), (148, 148)]","[1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",65,2,1.123076923076923,0.32852548467788645,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]",2,1.1692307692307693,0.3749556186755059,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,0.06153846153846154,0.24031537464328168,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",1,0.9285714285714286,0.2575393768188564,0.6079139341242356,1.7857142857142858,8.3140625,8.186153846153847
Udacity,Uda-CM,v|v|i|v|ti|v|v|vt|i|t|v|vt|tvt|v|vt|ti|vt|vt|tiit|v|v|vt|vt|v|v|v|tvt|vt|vt|tit|v|v|vt|tiit|vt|v|vt|v|vt|vt|vtvt|tiit|t|v|vt|vt|vt|tit|v|tit|v|t|v|vt|tit|vt|vt|tvt|vt|vt|vt|vt|ti|tit|v|v|t|vt|vt|v|vt|vt|v|vt|tit|vt|vt|t,78,3,26,7620.0,17791.0,"[(2, 2), (5, 5), (10, 10), (22, 22), (28, 29), (48, 48), (55, 56), (73, 74), (85, 85), (89, 89), (97, 97), (115, 115), (117, 117), (135, 135)]","[1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1]",14,2,1.2142857142857142,0.4103259033241448,"[2, 2, 4, 11, 5, 18, 6, 16, 10, 3, 7, 17, 1, 17]",18,8.5,6.044477999440009,"[False, False, True, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, False, True, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False]","[2, 1, 3, 6, 2, 10, 3, 7, 5, 1, 4, 7, 0, 10]",10,4.357142857142857,3.1306581429730183,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,0.1794871794871795,0.3837597319768144,0.4283064470799843,0.3333333333333333,13.03974358974359,12.108333333333334
Udacity,Uda-JS,v|vt|vt|t|vtv|titiv|v|v|titit|i|vt|i|vt|tii|vti|i|tvti|tvtvti|ti|i|i|i|i|vt|i|vti|titi|ti|i|i|i|i|v|v|ti|v|t|ti|i|ti|i|v|tvtiii|vt|i|i|ti|v|tit|tvti|ti|vti|tvti|ti|v|v|v|tvti|i|i|i|v|vt|vti|vt|i|i|i|i|i|v|v|v|tii|t|i|i|vtii|ti|v|vti|vi|t|t|tvi|t|i|vtvt|tvt|t|i|i|i|v|v|vt|ti|v|titvti|i|i|i|vt|ti|tvt|tvti|tvti|i|i|i|iii|t|vt|i|vt|i|v|tvtvt|i|v|v|vt|i|v|t|vi|t|i|i|i|i|i|v,133,7,106,101280.0,112155.0,"[(10, 10), (12, 12), (17, 17), (19, 19), (21, 21), (24, 24), (28, 29), (32, 32), (33, 33), (37, 37), (43, 43), (45, 45), (46, 46), (47, 47), (48, 48), (49, 49), (52, 52), (55, 55), (57, 57), (59, 59), (61, 61), (62, 62), (63, 63), (64, 64), (65, 65), (69, 69), (73, 73), (74, 74), (76, 76), (77, 77), (82, 84), (87, 87), (88, 88), (90, 90), (93, 93), (98, 98), (100, 100), (103, 103), (107, 107), (109, 109), (116, 116), (117, 117), (118, 118), (119, 119), (125, 125), (128, 128), (129, 129), (130, 130), (131, 131), (132, 132), (137, 138), (140, 140), (141, 141), (144, 145), (147, 147), (151, 151), (153, 153), (158, 158), (160, 160), (169, 169), (170, 170), (171, 171), (177, 177), (180, 180), (184, 184), (185, 185), (186, 186), (187, 187), (191, 191), (198, 198), (202, 202), (203, 203), (204, 204), (205, 205), (206, 208), (212, 212), (215, 215), (222, 222), (227, 227), (231, 231), (233, 233), (234, 234), (235, 235), (236, 236), (237, 237)]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",85,3,1.0823529411764705,0.3501853192032287,"[10, 1, 4, 1, 1, 2, 3, 2, 0, 3, 5, 1, 0, 0, 0, 0, 2, 2, 1, 1, 1, 0, 0, 0, 0, 3, 3, 0, 1, 0, 4, 2, 0, 1, 2, 4, 1, 2, 3, 1, 6, 0, 0, 0, 5, 2, 0, 0, 0, 0, 4, 1, 0, 2, 1, 3, 1, 4, 1, 8, 0, 0, 5, 2, 3, 0, 0, 0, 3, 6, 3, 0, 0, 0, 0, 3, 2, 6, 4, 3, 1, 0, 0, 0, 0]",10,1.7176470588235293,2.0327423650062864,"[False, False, False, False, False, True, False, False, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, False, False, True, True, True, True, False, True, False, True, True, True, False, True, True, True, True, True, True, False, False, False, True, True, True, True, False, False, True, False, True, True, True, True, True, False, False, False, True, False, True, True, True, True, False, True, True, False, False, True, False, True, False, False, False, True, True, True, False, False, False, True, False, True, True, True, True, False, True, False, True, True, True, True, True, True, False, False, True, False, True, False, False, True, False, False, False, True, False, False, True, False, True, True, True, True, True, False]","[5, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 2, 1, 3, 0, 0, 3, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0]",5,0.6296296296296297,1.0237240711915003,"[0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",2,0.6390977443609023,0.539260784271913,0.9030359769961215,0.7969924812030075,2.1577380952380953,2.2376543209876543
Udacity,Uda-RWD,v|tiv|v|v|vt|vt|v|vt|vt|vt|v|v|v|i|i|i|i|ti|vt|vit|v|v|ti|v|i|v|ti|vt|v|v|v|v|v|v|v|v|vti|v|v|ti|v|ti|vt|vt|v|v|v|ti|v|v|v|v|ti|tiv|ti|v|ti|vt|ti|titv|v|v|vt|v|v|ti|vt|vt|v|v|ti|v,72,5,39,17580.0,23611.0,"[(2, 2), (20, 20), (21, 21), (22, 22), (23, 23), (25, 25), (29, 29), (34, 34), (36, 36), (39, 39), (52, 52), (56, 56), (59, 59), (68, 68), (74, 74), (76, 76), (79, 79), (82, 82), (86, 86), (88, 88), (98, 98), (106, 106)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",22,1,1.0,0.0,"[2, 17, 0, 0, 0, 1, 3, 4, 1, 2, 12, 3, 2, 8, 5, 1, 2, 2, 3, 1, 9, 7]",17,3.8636363636363638,4.213565263693558,"[False, True, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, False, True, False, False, True, False, True, False, True, False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, False, False, False, True, False, False, False, False, True, True, True, False, True, False, True, True, False, False, False, False, False, True, False, False, False, False, True, False]","[1, 11, 0, 0, 0, 0, 1, 2, 1, 1, 9, 2, 1, 5, 4, 0, 0, 1, 1, 0, 5, 4]",11,2.227272727272727,2.9377142967375502,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",1,0.3055555555555556,0.4606423319938055,0.7445682097327517,0.5416666666666666,4.786507936507936,4.568939393939394
edX,edX-AS,v|v|v|v|t|i|v|v|v|i|v|v|i|i|t|v|v|v|t|t|i|v|t|v|v|t|t|i|v|v|t|v|t|t|i|t|v|t|v|t|i|v|t|v|v|t|i|v|v|t|v|t|i|i|t,55,3,47,14100.0,27655.0,"[(5, 5), (9, 9), (12, 12), (13, 13), (20, 20), (27, 27), (34, 34), (40, 40), (46, 46), (52, 52), (53, 53)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11,1,1.0,0.0,"[5, 3, 2, 0, 6, 6, 6, 5, 5, 5, 0]",6,3.909090909090909,2.193152378511785,"[False, False, False, False, False, True, False, False, False, True, False, False, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, True, True, False]","[5, 3, 2, 0, 6, 6, 6, 5, 5, 5, 0]",6,3.909090909090909,2.193152378511785,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",1,0.2,0.4000000000000001,0.5098535527029471,0.8545454545454545,22.591666666666665,20.537878787878785
edX,edX-IS,viitititv|viiviiviiiviiti|viivii|viittiivii|vitt|tvtiiviitii|viiiiiii|iviiviitiiviitiitii|viittiitiitii|vii|ttt|vitt|tviii|viiviiivii|tttt|tititiitiitiitii|vitt|tvii|viiviiiviiitiitiii|tiiitii|vii|vitt|tviivi|viiviiviiii|vii|vivitt|vtt,27,6,208,71580.0,85325.0,"[(1, 2), (4, 4), (6, 6), (10, 11), (13, 14), (16, 18), (20, 21), (23, 23), (25, 26), (28, 29), (31, 32), (35, 36), (38, 39), (41, 41), (47, 48), (50, 51), (53, 54), (56, 62), (63, 63), (65, 66), (68, 69), (71, 72), (74, 75), (77, 78), (80, 81), (83, 84), (87, 88), (90, 91), (93, 94), (96, 97), (102, 102), (107, 109), (111, 112), (114, 116), (118, 119), (125, 125), (127, 127), (129, 130), (132, 133), (135, 136), (138, 139), (141, 141), (146, 147), (149, 150), (152, 154), (156, 158), (160, 161), (163, 165), (167, 169), (171, 172), (174, 175), (177, 177), (182, 183), (185, 185), (187, 188), (190, 191), (193, 196), (198, 199), (201, 201), (203, 203)]","[2, 1, 1, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 7, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 3, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 3, 3, 2, 3, 3, 2, 2, 1, 2, 1, 2, 2, 4, 2, 1, 1]",60,7,2.0166666666666666,0.9035424112286533,"[1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 4, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1]",5,1.3833333333333333,1.0502645169458766,"[True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0.08333333333333333,0.2763853991962833,"[3, 5, 2, 3, 1, 3, 1, 7, 4, 1, 0, 1, 1, 3, 0, 6, 1, 1, 5, 2, 1, 1, 2, 3, 1, 2, 0]",7,2.2222222222222223,1.8121673811444543,0.8389100498095517,7.703703703703703,3.882768361581921,9.54513888888889
