provider_name,course_name,unit,estimated_completion_time,building_block,building_block_short,video_duration,word_count,img_count,gif_count,table_count,code_rows_count,link_count,task_type,question_count,answer_count,points,audio_duration,graphics_count
FutureLearn,Fut-EC,2_04,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_05,0,Text,t,0,693.0,0.0,1.0,1.0,0.0,2.0,NA,0.0,0.0,,0,1
FutureLearn,Fut-EC,2_05,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_06,0,Text,t,0,800.0,1.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,1
FutureLearn,Fut-EC,2_06,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_07,0,Text,t,0,824.0,1.0,2.0,0.0,0.0,2.0,NA,0.0,0.0,,0,3
FutureLearn,Fut-EC,2_07,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_08,0,Text,t,0,884.0,0.0,0.0,0.0,0.0,4.0,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_08,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_09,0,Text,t,0,740.0,0.0,2.0,0.0,0.0,3.0,NA,0.0,0.0,,0,2
FutureLearn,Fut-EC,2_09,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_10,0,Text,t,0,624.0,0.0,0.0,0.0,0.0,1.0,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_10,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_11,0,Text,t,0,861.0,3.0,2.0,0.0,0.0,,NA,0.0,0.0,,0,5
FutureLearn,Fut-EC,2_11,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_12,0,Video,v,149,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_12,0,Text,t,0,695.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_12,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_13,0,Text,t,0,453.0,0.0,0.0,1.0,0.0,4.0,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_13,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_14,0,Video,v,70,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_14,0,Text,t,0,405.0,0.0,0.0,0.0,0.0,5.0,NA,0.0,0.0,,0,0
FutureLearn,Fut-EC,2_14,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_01,0,Video,v,144,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_01,0,Text,t,0,341.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_01,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_02,0,Text,t,0,168.0,0.0,0.0,0.0,0.0,1.0,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_02,0,Poll,p,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_02,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_03,0,Text,t,0,457.0,2.0,0.0,0.0,0.0,1.0,NA,0.0,0.0,,0,2
FutureLearn,Fut-ENT,1_03,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_04,0,Text,t,0,127.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_04,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_05,0,Text,t,0,247.0,1.0,0.0,0.0,0.0,1.0,NA,0.0,0.0,,0,1
FutureLearn,Fut-ENT,1_05,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_06,0,Text,t,0,63.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_06,0,Video,v,118,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_06,0,Text,t,0,24.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_06,0,Discussion,d,0,0.0,0.0,0.0,0.0,0.0,,NA,0.0,0.0,,0,0
FutureLearn,Fut-ENT,1_07,0,Exercise,e,0,0.0,0.0,0.0,0.0,0.0,,Choice,1.0,3.0,,0,0
FutureLearn,Fut-ENT,1_07,0,Exercise,e,0,0.0,0.0,0.0,0.0,0.0,,Choice,1.0,3.0,,0,0
FutureLearn,Fut-ENT,1_07,0,Exercise,e,0,0.0,0.0,0.0,0.0,0.0,,Choice,1.0,3.0,,0,0
