provider_name,course_name,unit,chapter,section,unit_structure,unit_structure_filtered,building_block_unique,media_interaction_combination,building_block_count,building_block_changes_count,building_block_unique_count,has_exercises,only_exercises,multiple_exercise_blocks,starts_with_exercise,exercises_in_middle,ends_with_exercise,v_count,a_count,t_count,e_count,d_count,p_count,h_count,choice_count,coding_count,mapping_count,essay_count,short_answer_count,video_duration,audio_duration,word_count,text_duration,exercise_duration,poll_duration,discussion_duration,interaction_duration,media_duration,unit_duration,completion_time,video_proportion,media_proportion,interaction_count,interaction_density,interaction_density_other,0_media_1_interaction_count,0_media_2_interaction_count,1_media_0_interaction_count,1_media_1_interaction_count,1_media_2_interaction_count,1_media_3_interaction_count,2_media_0_interaction_count,2_media_1_interaction_count,2_media_2_interaction_count,2_media_3_interaction_count,graphics_count,code_rows_count,table_count,multi_codal
FutureLearn,Fut-EC,2_02,2,02,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,158,120,0.0,0,300,300.0,120,420.0,420.0,0.0,0.2857142857142857,1,0.7142857142857143,0.14285714285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-EC,2_03,2,03,vtd,vtd,dtv,2-media-1-interaction,3,2,3,False,False,False,False,False,False,1,0,1,0,1,0,0,0,0,0,0,0,116,0,817,360,0.0,0,300,300.0,476,776.0,892.0,0.24369747899159663,0.6636771300448431,1,0.3865979381443299,0.07731958762886598,0,0,0,0,0,0,0,1,0,0,2,0,0,True
FutureLearn,Fut-EC,2_04,2,04,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,837,360,0.0,0,300,300.0,360,660.0,660.0,0.0,0.5454545454545454,1,0.45454545454545453,0.09090909090909091,0,0,0,1,0,0,0,0,0,0,3,0,0,True
FutureLearn,Fut-EC,2_05,2,05,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,693,300,0.0,0,300,300.0,300,600.0,600.0,0.0,0.5,1,0.5,0.1,0,0,0,1,0,0,0,0,0,0,1,0,1,True
FutureLearn,Fut-EC,2_06,2,06,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,800,360,0.0,0,300,300.0,360,660.0,660.0,0.0,0.5454545454545454,1,0.45454545454545453,0.09090909090909091,0,0,0,1,0,0,0,0,0,0,1,0,0,True
FutureLearn,Fut-EC,2_07,2,07,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,824,360,0.0,0,300,300.0,360,660.0,660.0,0.0,0.5454545454545454,1,0.45454545454545453,0.09090909090909091,0,0,0,1,0,0,0,0,0,0,3,0,0,True
FutureLearn,Fut-EC,2_08,2,08,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,884,360,0.0,0,300,300.0,360,660.0,660.0,0.0,0.5454545454545454,1,0.45454545454545453,0.09090909090909091,0,0,0,1,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-EC,2_09,2,09,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,740,300,0.0,0,300,300.0,300,600.0,600.0,0.0,0.5,1,0.5,0.1,0,0,0,1,0,0,0,0,0,0,2,0,0,True
FutureLearn,Fut-EC,2_10,2,10,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,624,300,0.0,0,300,300.0,300,600.0,600.0,0.0,0.5,1,0.5,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,False
FutureLearn,Fut-EC,2_11,2,11,td,td,dt,1-media-1-interaction,2,1,2,False,False,False,False,False,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,861,360,0.0,0,300,300.0,360,660.0,660.0,0.0,0.5454545454545454,1,0.45454545454545453,0.09090909090909091,0,0,0,1,0,0,0,0,0,0,5,0,0,True
