,S,v,t,a,d,p,e,E,Sum
S,0.0,0.17117117117117117,0.7117117117117117,0.02702702702702703,0.009009009009009009,0.009009009009009009,0.07207207207207207,0.0,1.0
v,0.0,0.0,0.9629629629629629,0.0,0.037037037037037035,0.0,0.0,0.0,1.0
t,0.0,0.07339449541284404,0.0,0.0,0.8990825688073395,0.01834862385321101,0.0,0.009174311926605505,1.0
a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
d,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.9902912621359223,1.0
p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
e,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.21052631578947367,1.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
